title,labels,author,name,latest_date,tags,description,dataset_info,included_models,dimension,edition,language,license,compatibility,inputs,case_sensitive,output,type,download_url,demo_url,colab_url,file,spark_version,ts,dataset
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-02-03,"[ner, fr, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,fr,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_fr_2.4.0_2.4_1579717534654.zip,https://demo.johnsnowlabs.com/public/NER_FR,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_FR.ipynb,wikiner_6B_300_fr_2.4.0_2.4_1579717534654.zip,2.4,1579717534654,mds
Deidentification NER (Enriched),,John Snow Labs,ner_deid_enriched,2020-03-04,"[ner, en, deidentify, licensed]","Deidentification NER (Enriched) is a Named Entity Recognition model that annotates text to find protected health information that may need to be deidentified. The entities it annotates are Age, City, Country, Date, Doctor, Hospital, Idnum, Medicalrecord, Organization, Patient, Phone, Profession, State, Street, Username, and Zip. Clinical NER is trained with the 'embeddings_clinical' word embeddings model, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/](https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/),,,Official,en,Licensed,2.4.2,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_deid_enriched_en_2.4.2_2.4_1587513306751.zip,https://demo.johnsnowlabs.com/healthcare/NER_DEMOGRAPHICS,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/NER_DEMOGRAPHICS.ipynb,ner_deid_enriched_en_2.4.2_2.4_1587513306751.zip,2.4,1587513306751,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2019-07-13,"[open_source, ner, fr]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,fr,Open Source,2.1.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_fr_2.1.0_2.4_1563035043013.zip,https://demo.johnsnowlabs.com/public/NER_FR,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_FR.ipynb,wikiner_840B_300_fr_2.1.0_2.4_1563035043013.zip,2.4,1563035043013,mds
Ner DL Model,"Age, Diagnosis, Dosage, Drug_name, Frequency, Gender, Lab_name, Lab_result, Symptom_name",John Snow Labs,ner_jsl,2020-04-22,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for clinical terminology. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on data gathered and manually annotated by John Snow Labs.
https://www.johnsnowlabs.com/data/",,,Healthcare,en,Licensed,2.4.2,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_jsl_en_2.4.2_2.4_1587513304751.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_jsl_en_2.4.2_2.4_1587513304751.zip,2.4,1587513304751,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2019-07-13,"[open_source, ner, de]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://de.wikipedia.org](https://de.wikipedia.org),,,Official,de,Open Source,2.1.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_de_2.1.0_2.4_1563035544700.zip,https://demo.johnsnowlabs.com/public/NER_DE,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_DE.ipynb,wikiner_840B_300_de_2.1.0_2.4_1563035544700.zip,2.4,1563035544700,mds
Clinical NER (Large),,John Snow Labs,ner_clinical_large,2020-05-10,"[ner, en, licensed]","Clinical NER (Large) is a Named Entity Recognition model that annotates text to find references to clinical events. The entities it annotates are Problem, Treatment, and Test. Clinical NER is trained with the 'embeddings_clinical' word embeddings model, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/](https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/),,,Official,en,Licensed,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_large_clinical_en_2.5.0_2.4_1590021302624.zip,https://demo.johnsnowlabs.com/healthcare/NER_EVENTS_CLINICAL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/NER_EVENTS_CLINICAL.ipynb,ner_large_clinical_en_2.5.0_2.4_1590021302624.zip,2.4,1590021302624,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-03-16,"[ner, ru, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://ru.wikipedia.org](https://ru.wikipedia.org),,,Official,ru,Open Source,2.4.4,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_ru_2.4.4_2.4_1584014001695.zip,https://demo.johnsnowlabs.com/public/NER_RU,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_RU.ipynb,wikiner_840B_300_ru_2.4.4_2.4_1584014001695.zip,2.4,1584014001695,mds
NerDLModel Bionlp,"Amino_acid, Anatomical_system, Cancer, Cell, Cellular_component, Developing_anatomical_Structure, Gene_or_gene_product, Immaterial_anatomical_entity, Multi,tissue_structure, Organ, Organism, Organism_subdivision, Simple_chemical, Tissue",John Snow Labs,ner_bionlp,2020-01-30,"[licensed, ner, en]","Pretrained named entity recognition deep learning model for biology and genetics terms. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on Cancer Genetics (CG) task of the BioNLP Shared Task 2013 with 'embeddings_clinical'.
http://2013.bionlp-st.org/tasks/cancer-genetics",,,Healthcare,en,Licensed,2.4.0,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_bionlp_en_2.4.0_2.4_1580237286004.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_bionlp_en_2.4.0_2.4_1580237286004.zip,2.4,1580237286004,mds
ALBERT Base Uncase,,John Snow Labs,albert_base_uncased,2020-04-28,"[embeddings, en, open_source]","ALBERT is ""A Lite"" version of BERT, a popular unsupervised language representation learning algorithm. ALBERT uses parameter,reduction techniques that allow for large,scale configurations, overcome previous memory limitations, and achieve better behavior with respect to model degradation. The details are described in the paper ""[ALBERT: A Lite BERT for Self,supervised Learning of Language Representations.](https://arxiv.org/abs/1909.11942)""",The model is imported from [https://tfhub.dev/google/albert_base/3](https://tfhub.dev/google/albert_base/3),,768,Official,en,Open Source,2.5.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/albert_base_uncased_en_2.5.0_2.4_1588073363475.zip,,,albert_base_uncased_en_2.5.0_2.4_1588073363475.zip,2.4,1588073363475,mds
WikiNER 6B 100,,John Snow Labs,wikiner_6B_100,2020-05-10,"[ner, pt, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 100 is trained with GloVe 6B 100 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pt.wikipedia.org](https://pt.wikipedia.org),,,Official,pt,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_100_pt_2.5.0_2.4_1588495233192.zip,https://demo.johnsnowlabs.com/public/NER_PT,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PT.ipynb,wikiner_6B_100_pt_2.5.0_2.4_1588495233192.zip,2.4,1588495233192,mds
NerDLModel Posology Small,"Dosage, Drug, Duration, Form, Frequency, Route, Strength",John Snow Labs,ner_posology_small,2020-04-22,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for posology. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on the 2018 i2b2 dataset with 'embeddings_clinical'.
https://www.i2b2.org/NLP/Medication",,,Healthcare,en,Licensed,2.4.2,"sentence,token, embeddings",false,ner,ner,https://s3.amazon.com/auxdata.johnsnowlabs.com/clinical/models/ner_posology_small_en_2.4.2_2.4_1587513301751.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_posology_small_en_2.4.2_2.4_1587513301751.zip,2.4,1587513301751,mds
GloVe 6B 300,,John Snow Labs,glove_6B_300,2020-02-03,"[embeddings, en, open_source]","GloVe (Global Vectors) is a model for distributed word representation. This is achieved by mapping words into a meaningful space where the distance between words is related to semantic similarity. It outperformed many common Word2vec models on the word analogy task. One benefit of GloVe is that it is the result of directly modeling relationships, instead of getting them as a side effect of training a language model.",The model is imported from [https://nlp.stanford.edu/projects/glove/](https://nlp.stanford.edu/projects/glove/),,300,Official,en,Open Source,2.4.0,sentence. token,false,embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/glove_6B_300_xx_2.4.0_2.4_1579698630432.zip,https://demo.johnsnowlabs.com/public/NER_EN,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_EN.ipynb,glove_6B_300_xx_2.4.0_2.4_1579698630432.zip,2.4,1579698630432,mds
Explain Document DL,,John Snow Labs,explain_document_dl,,"[pipeline, en, open_source]",The *explain_document_dl* is a pretrained pipeline that we can use to process text with a simple pipeline that performs basic processing steps.,,"The explain_document_ml has one Transformer and six annotators:
- Documenssembler - A Transformer that creates a column that contains documents.
- Sentence Segmenter - An annotator that produces the sentences of the document.
- Tokenizer - An annotator that produces the tokens of the sentences.
- SpellChecker - An annotator that produces the spelling-corrected tokens.
- Stemmer - An annotator that produces the stems of the tokens.
- Lemmatizer - An annotator that produces the lemmas of the tokens.
- POS Tagger - An annotator that produces the parts of speech of the associated tokens.",,Community,en,Open Source,2.5.5,,,,pipeline,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/explain_document_dl_en_2.4.3_2.4_1584626657780.zip,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/jupyter/annotation/english/explain-document-ml/explain_document_ml.ipynb,explain_document_dl_en_2.4.3_2.4_1584626657780.zip,2.4,1584626657780,mds
BERT Large Cased,,John Snow Labs,bert_large_cased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1](https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1),,1024,Official,en,Open Source,2.4.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_large_cased_en_2.4.0_2.4_1580580251298.zip,,,bert_large_cased_en_2.4.0_2.4_1580580251298.zip,2.4,1580580251298,mds
Universal Sentence Encoder,,John Snow Labs,tfhub_use,2020-04-17,"[embeddings, en, open_source]","The Universal Sentence Encoder encodes text into high,dimensional vectors that can be used for text classification, semantic similarity, clustering and other natural language tasks.,The model is trained and optimized for greater,than,word length text, such as sentences, phrases or short paragraphs. It is trained on a variety of data sources and a variety of tasks with the aim of dynamically accommodating a wide variety of natural language understanding tasks. The input is variable length English text and the output is a 512 dimensional vector. We apply this model to the STS benchmark for semantic similarity, and the results can be seen in the example notebook made available. The universal,sentence,encoder model is trained with a deep averaging network (DAN) encoder.,The details are described in the paper ""[Universal Sentence Encoder](https://arxiv.org/abs/1803.11175)"".",The model is imported from [https://tfhub.dev/google/universal-sentence-encoder/2](https://tfhub.dev/google/universal-sentence-encoder/2),,512,Official,en,Open Source,2.4.0,sentence,true,sentence_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/tfhub_use_en_2.4.0_2.4_1587136330099.zip,,,tfhub_use_en_2.4.0_2.4_1587136330099.zip,2.4,1587136330099,mds
BioBERT Clinical,,John Snow Labs,biobert_clinical_base_cased,2020-07-20,"[embeddings, en, open_source]","This model contains a pre,trained weights of ClinicalBERT for generic clinical text. This domain,specific model has performance improvements on 3/5 clinical NLP tasks andd establishing a new state,of,the,art on the MedNLI dataset. The details are described in the paper ""[Publicly Available Clinical BERT Embeddings](https://www.aclweb.org/anthology/W19,1909/)"".",The model is imported from [https://github.com/EmilyAlsentzer/clinicalBERT](https://github.com/EmilyAlsentzer/clinicalBERT),,768,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,,,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,2.4,1590489819943,mds
Explain Clinical Doc ERA,,John Snow Labs,explain_clinical_doc_era,2020-08-19,"[pipeline, en, licensed]","A pretrained pipeline with ner_clinical_events, assertion_dl and re_temporal_events_clinical. It will extract clinical entities, assign assertion status and find temporal relationships between clinical entities",,"- ner_clinical_events
- assertion_dl
- re_temporal_events_clinical",,Healthcare,en,Licensed,2.5.5,,,,pipeline,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/explain_clinical_doc_era_en_2.5.5_2.4_1597841630062.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,explain_clinical_doc_era_en_2.5.5_2.4_1597841630062.zip,2.4,1597841630062,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-05-10,"[ner, pl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pl.wikipedia.org](https://pl.wikipedia.org),,,Official,pl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_pl_2.5.0_2.4_1588519719571.zip,https://demo.johnsnowlabs.com/public/NER_PL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PL.ipynb,wikiner_6B_300_pl_2.5.0_2.4_1588519719571.zip,2.4,1588519719571,mds
BERT Base Uncased,,John Snow Labs,bert_base_uncased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_uncased_L-12_H-768_A-12/1](https://tfhub.dev/google/bert_uncased_L-12_H-768_A-12/1),,768,Official,en,Open Source,2.4.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_base_cased_en_2.4.0_2.4_1580579557778.zip,,,bert_base_cased_en_2.4.0_2.4_1580579557778.zip,2.4,1580579557778,mds
XLNet Large,,John Snow Labs,xlnet_large_cased,2020-04-28,"[embeddings, en, open_source]","XLNet is a new unsupervised language representation learning method based on a novel generalized permutation language modeling objective. Additionally, XLNet employs Transformer,XL as the backbone model, exhibiting excellent performance for language tasks involving long context. Overall, XLNet achieves state,of,the,art (SOTA) results on various downstream language tasks including question answering, natural language inference, sentiment analysis, and document ranking. The details are described in the paper ""[​XLNet: Generalized Autoregressive Pretraining for Language Understanding](https://arxiv.org/abs/1906.08237)""",The model is imported from [https://github.com/zihangdai/xlnet](https://github.com/zihangdai/xlnet),,1024,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/xlnet_large_cased_en_2.5.0_2.4_1588074397954.zip,,,xlnet_large_cased_en_2.5.0_2.4_1588074397954.zip,2.4,1588074397954,mds
NerDLModel Clinical Large,"Problem, Test, Treatment",John Snow Labs,ner_clinical_large,2020-05-23,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for clinical terms. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on augmented 2010 i2b2 challenge data with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licenced,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_clinical_large_en_2.5.0_2.4_1590021302624.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_clinical_large_en_2.5.0_2.4_1590021302624.zip,2.4,1590021302624,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-05-10,"[ner, pl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pl.wikipedia.org](https://pl.wikipedia.org),,,Official,pl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_pl_2.5.0_2.4_1588519719572.zip,https://demo.johnsnowlabs.com/public/NER_PL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PL.ipynb,wikiner_840B_300_pl_2.5.0_2.4_1588519719572.zip,2.4,1588519719572,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-02-03,"[ner, es, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://es.wikipedia.org](https://es.wikipedia.org),,,Official,es,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_es_2.4.0_2.4_1581971942090.zip,https://demo.johnsnowlabs.com/public/NER_ES,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_ES.ipynb,wikiner_6B_300_es_2.4.0_2.4_1581971942090.zip,2.4,1581971942090,mds
BERT Large Uncased,,John Snow Labs,bert_large_uncased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1](https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1),,1024,Official,en,Open Source,2.4.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_large_uncased_en_2.4.0_2.4_1580581306683.zip,,,bert_large_uncased_en_2.4.0_2.4_1580581306683.zip,2.4,1580581306683,mds
Deidentification NER (Large),,John Snow Labs,ner_deid_large,2020-03-04,"[ner, en, deidentify, licensed]","Deidentification NER (Large) is a Named Entity Recognition model that annotates text to find protected health information that may need to be deidentified. The entities it annotates are Age, Contact, Date, Id, Location, Name, and Profession. Clinical NER is trained with the 'embeddings_clinical' word embeddings model, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/](https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/),,,Official,en,Licensed,2.4.2,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_deid_large_en_2.4.2_2.4_1587513305751.zip,https://demo.johnsnowlabs.com/healthcare/NER_DEMOGRAPHICS,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/NER_DEMOGRAPHICS.ipynb,ner_deid_large_en_2.4.2_2.4_1587513305751.zip,2.4,1587513305751,mds
NerDLModel Drugs,DrugChem,John Snow Labs,ner_drugs,2020-03-25,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for Drugs. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on i2b2_med7 + FDA with 'embeddings_clinical'.
https://www.i2b2.org/NLP/Medication",,,Healthcare,en,Licensed,2.4.4,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_drugs_en_2.4.4_2.4_1584452534235.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_drugs_en_2.4.4_2.4_1584452534235.zip,2.4,1584452534235,mds
