include,repo,title,name,language,compatibility,spark_version,latest_date,ts,dataset,download_url,file,upstream_deps,model_class,labels,reference_url,author,tags,license,edition,dimension,dataset_info,description,demo_url,included_models,colab_url,case_sensitive
1,clinical/models,Assertion DL Clinical Embeddings,assertion_dl,en,2.4.0,2.4,2020-01-28,1580237286004,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_en_2.4.0_2.4_1580237286004.zip,assertion_dl_en_2.4.0_2.4_1580237286004.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL Healthcare Embeddings,assertion_dl_healthcare,en,2.6.0,2.4,2020-09-23,1600849811713,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,embeddings_healthcare_100d,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL Large,assertion_dl_large,en,2.4.2,2.4,2020-05-21,1590022282256,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL I2B2,assertion_i2b2,en,2.4.2,2.4,2020-05-07,1588811895962,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion ML,assertion_ml,en,2.4.0,2.4,2020-01-28,1580237286004,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_ml_en_2.4.0_2.4_1580237286004.zip,assertion_ml_en_2.4.0_2.4_1580237286004.zip,embeddings_clinical,AssertionLogRegModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
0,clinical/models,Biobert Clinical Base Cased,biobert_clinical_base_cased,en,2.5.0,2.4,2020-05-26,1590489819943,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,,BertEmbeddings,Contextual feature vectors based on biobert_clinical_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_clinical_base_cased,,,,True
0,clinical/models,Biobert Discharge Base Cased,biobert_discharge_base_cased,en,2.5.0,2.4,2020-05-26,1590490193605,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,,BertEmbeddings,Contextual feature vectors based on biobert_discharge_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_discharge_base_cased,,,,True
0,clinical/models,Biobert Pmc Base Cased,biobert_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489029151,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pmc_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pmc_base_cased,,,,True
1,clinical/models,Biobert Pubmed Base Cased,biobert_pubmed_base_cased,en,2.5.0,2.4,2020-09-15,1600182457870,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pubmed_base_cased_en_2.6.0_2.4_1600182457870.zip,biobert_pubmed_base_cased_en_2.6.0_2.4_1600182457870.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pubmed_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pubmed_base_cased,,,,True
1,clinical/models,Biobert Pubmed Large Cased,biobert_pubmed_large_cased,en,2.5.0,2.4,2020-09-16,1600240494946,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pubmed_large_cased_en_2.6.0_2.4_1600240494946.zip,biobert_pubmed_large_cased_en_2.6.0_2.4_1600240494946.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pubmed_large_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pubmed_large_cased,,,,True
0,clinical/models,Biobert Pubmed Pmc Base Cased,biobert_pubmed_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489367180,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pubmed_pmc_base_cased_en_2.5.0_2.4_1590489367180.zip,biobert_pubmed_pmc_base_cased_en_2.5.0_2.4_1590489367180.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pubmed_pmc_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pubmed_pmc_base_cased,,,,True
1,clinical/models,ChunkResolver ICD10GM,chunkresolve_ICD10GM,de,2.5.5,2.4,2020-09-06,1599431635423,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_ICD10GM_de_2.5.5_2.4_1599431635423.zip,chunkresolve_ICD10GM_de_2.5.5_2.4_1599431635423.zip,w2v_cc_300d,ChunkEntityResolverModel,Codes and their normalized definition with `clinical_embeddings`,,John Snow Labs,"clinical,entity_resolution,icd10gm,de",Licensed ,Healthcare,,FILLUP,,,,,True
1,clinical/models,ChunkResolver Athena Conditions Healthcare,chunkresolve_athena_conditions_healthcare,en,2.6.0,2.4,2020-09-16,1600265258887,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_athena_conditions_healthcare_en_2.6.0_2.4_1600265258887.zip,chunkresolve_athena_conditions_healthcare_en_2.6.0_2.4_1600265258887.zip,embeddings_healthcare_100d,ChunkEntityResolverModel,Athena Codes and their normalized definition,,John Snow Labs,"clinical,entity_resolution,athena,conditions,en",Licensed ,Healthcare,,Trained on Athena dataset,,,,,True
1,clinical/models,ChunkResolver Cpt Clinical,chunkresolve_cpt_clinical,en,2.4.2,2.4,2020-04-21,1587491373378,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_cpt_clinical_en_2.4.5_2.4_1587491373378.zip,chunkresolve_cpt_clinical_en_2.4.5_2.4_1587491373378.zip,embeddings_clinical,ChunkEntityResolverModel,chunkresolve_cpt_clinical Codes and their normalized definition,,John Snow Labs,"clinical,entity_resolution,cpt,en",Licensed ,Healthcare,,Trained on Current Procedural Terminology dataset,,,,,True
1,clinical/models,ChunkResolver Icd10cm Clinical,chunkresolve_icd10cm_clinical,en,2.4.2,2.4,2020-04-21,1587491222166,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_clinical_en_2.4.5_2.4_1587491222166.zip,chunkresolve_icd10cm_clinical_en_2.4.5_2.4_1587491222166.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,en",Licensed ,Healthcare,,Trained on ICD10 Clinical Modification datasetwith tenths of variations per code,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/jupyter/enterprise/healthcare/EntityResolution_ICD10_RxNorm_Detailed.ipynb,True
1,clinical/models,ChunkResolver Icd10cm Diseases Clinical,chunkresolve_icd10cm_diseases_clinical,en,2.4.5,2.4,2020-04-28,1588105984876,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_diseases_clinical_en_2.4.5_2.4_1588105984876.zip,chunkresolve_icd10cm_diseases_clinical_en_2.4.5_2.4_1588105984876.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,diseases,en",Licensed ,Healthcare,,Trained on ICD10CM Dataset Range: A000-N989 Except Neoplasms and Musculoskeletal,,,,,True
1,clinical/models,ChunkResolver Icd10cm Injuries Clinical,chunkresolve_icd10cm_injuries_clinical,en,2.4.5,2.4,2020-04-28,1588103825347,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_injuries_clinical_en_2.4.5_2.4_1588103825347.zip,chunkresolve_icd10cm_injuries_clinical_en_2.4.5_2.4_1588103825347.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/S00-T88,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,injuries,en",Licensed ,Healthcare,,Trained on ICD10CM Dataset Range: S0000XA-S98929S ,,,,,True
1,clinical/models,ChunkResolver Icd10cm Musculoskeletal Clinical,chunkresolve_icd10cm_musculoskeletal_clinical,en,2.4.5,2.4,2020-04-28,1588103998999,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_musculoskeletal_clinical_en_2.4.5_2.4_1588103998999.zip,chunkresolve_icd10cm_musculoskeletal_clinical_en_2.4.5_2.4_1588103998999.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/M00-M99,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,musculoeskeletal,en",Licensed ,Healthcare,,Trained on ICD10CM Dataset Range: M0000-M9979XXS,,,,,True
1,clinical/models,ChunkResolver Icd10cm Neoplasms Clinical,chunkresolve_icd10cm_neoplasms_clinical,en,2.4.5,2.4,2020-04-28,1588108205630,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_neoplasms_clinical_en_2.4.5_2.4_1588108205630.zip,chunkresolve_icd10cm_neoplasms_clinical_en_2.4.5_2.4_1588108205630.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/C00-D49,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,neoplasms,en",Licensed ,Healthcare,,"Trained on ICD10CM Dataset Ranges: C000-D489, R590-R599",,,,,True
1,clinical/models,ChunkResolver Icd10cm Poison Ext Clinical,chunkresolve_icd10cm_poison_ext_clinical,en,2.4.5,2.4,2020-04-28,1588106053455,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_poison_ext_clinical_en_2.4.5_2.4_1588106053455.zip,chunkresolve_icd10cm_poison_ext_clinical_en_2.4.5_2.4_1588106053455.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/S00-T88,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,poisoning,en",Licensed ,Healthcare,,Trained on ICD10CM Dataset Range: T1500XA-T879,,,,,True
1,clinical/models,ChunkResolver Icd10cm Puerile Clinical,chunkresolve_icd10cm_puerile_clinical,en,2.4.5,2.4,2020-04-28,1588103916781,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10cm_puerile_clinical_en_2.4.5_2.4_1588103916781.zip,chunkresolve_icd10cm_puerile_clinical_en_2.4.5_2.4_1588103916781.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-CM Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10CM/Codes/O00-O9A,John Snow Labs,"clinical,entity_resolution,icd10,icd10cm,pregnancy,infancy,en",Licensed ,Healthcare,,Trained on ICD10CM Dataset Range: O0000-O9989,,,,,True
1,clinical/models,ChunkResolver Icd10pcs Clinical,chunkresolve_icd10pcs_clinical,en,2.4.2,2.4,2020-04-21,1587491320087,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icd10pcs_clinical_en_2.4.5_2.4_1587491320087.zip,chunkresolve_icd10pcs_clinical_en_2.4.5_2.4_1587491320087.zip,embeddings_clinical,ChunkEntityResolverModel,ICD10-PCS Codes and their normalized definition with `clinical_embeddings`,https://www.icd10data.com/ICD10PCS/Codes,John Snow Labs,"clinical,entity_resolution,icd10,icd10pcs,en",Licensed ,Healthcare,,Trained on ICD10 Procedure Coding System dataset,,,,,True
1,clinical/models,ChunkResolver Icdo Clinical,chunkresolve_icdo_clinical,en,2.4.2,2.4,2020-04-21,1587491354644,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_icdo_clinical_en_2.4.5_2.4_1587491354644.zip,chunkresolve_icdo_clinical_en_2.4.5_2.4_1587491354644.zip,embeddings_clinical,ChunkEntityResolverModel,ICD-O Codes and their normalized definition with `clinical_embeddings`,https://apps.who.int/iris/bitstream/handle/10665/96612/9789241548496_eng.pdf,John Snow Labs,"clinical,entity_resolution,icd10,icdo,en",Licensed ,Healthcare,,Trained on ICD-O Histology Behaviour dataset,,,,,True
1,clinical/models,ChunkResolver Loinc Clinical,chunkresolve_loinc_clinical,en,2.5.0,2.4,2020-05-16,1589599195201,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_loinc_clinical_en_2.5.0_2.4_1589599195201.zip,chunkresolve_loinc_clinical_en_2.5.0_2.4_1589599195201.zip,embeddings_clinical,ChunkEntityResolverModel,LOINC Codes and ther Standard Name with `clinical_embeddings`,https://loinc.org/,John Snow Labs,"clinical,entity_resolution,loinc,en",Licensed ,Healthcare,,Trained on LOINC dataset with `embeddings_clinical`,,,,,True
1,clinical/models,ChunkResolver Rxnorm Cd Clinical,chunkresolve_rxnorm_cd_clinical,en,2.5.1,2.4,2020-07-27,1595813950836,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_rxnorm_cd_clinical_en_2.5.1_2.4_1595813950836.zip,chunkresolve_rxnorm_cd_clinical_en_2.5.1_2.4_1595813950836.zip,embeddings_clinical,ChunkEntityResolverModel,RxNorm Codes and their normalized definition with `clinical_embeddings`,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity_resolution,rxnorm,cd,en",Licensed ,Healthcare,,Trained on December 2019 RxNorm Clinical Drugs (TTY=CD) ontology graph with `embeddings_clinical`,,,,,True
1,clinical/models,ChunkResolver Rxnorm Sbd Clinical,chunkresolve_rxnorm_sbd_clinical,en,2.5.1,2.4,2020-07-27,1595813912622,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_rxnorm_sbd_clinical_en_2.5.1_2.4_1595813912622.zip,chunkresolve_rxnorm_sbd_clinical_en_2.5.1_2.4_1595813912622.zip,embeddings_clinical,ChunkEntityResolverModel,RxNorm Codes and their normalized definition with `clinical_embeddings`,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity_resolution,rxnorm,sbd,en",Licensed ,Healthcare,,Trained on December 2019 RxNorm Clinical Drugs (TTY=SBD) ontology graph with `embeddings_clinical`,,,,,True
1,clinical/models,ChunkResolver Rxnorm Scd Clinical,chunkresolve_rxnorm_scd_clinical,en,2.5.1,2.4,2020-07-27,1595813884363,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_rxnorm_scd_clinical_en_2.5.1_2.4_1595813884363.zip,chunkresolve_rxnorm_scd_clinical_en_2.5.1_2.4_1595813884363.zip,embeddings_clinical,ChunkEntityResolverModel,RxNorm Codes and their normalized definition with `clinical_embeddings`,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity_resolution,rxnorm,scd,en",Licensed ,Healthcare,,Trained on December 2019 RxNorm Clinical Drugs (TTY=SCD) ontology graph with `embeddings_clinical`,,,,,True
1,clinical/models,ChunkResolver Rxnorm Xsmall Clinical,chunkresolve_rxnorm_xsmall_clinical,en,2.5.2,2.4,2020-06-24,1592959394598,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_rxnorm_xsmall_clinical_en_2.5.2_2.4_1592959394598.zip,chunkresolve_rxnorm_xsmall_clinical_en_2.5.2_2.4_1592959394598.zip,embeddings_clinical,ChunkEntityResolverModel,Snomed Codes and their normalized definition with `clinical_embeddings`,http://www.snomed.org/,John Snow Labs,"clinical,entity_resolution,rxnorm,scd,en",Licensed ,Healthcare,,Trained on December 2019 RxNorm Subset,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/13.Snomed_Entity_Resolver_Model_Training.ipynb,True
1,clinical/models,ChunkResolver Snomed Findings Clinical,chunkresolve_snomed_findings_clinical,en,2.5.1,2.4,2020-06-20,1592617161564,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/chunkresolve_snomed_findings_clinical_en_2.5.1_2.4_1592617161564.zip,chunkresolve_snomed_findings_clinical_en_2.5.1_2.4_1592617161564.zip,embeddings_clinical,ChunkEntityResolverModel,Snomed Codes and their normalized definition with `clinical_embeddings`,http://www.snomed.org/,John Snow Labs,"clinical,entity_resolution,snomed,findings,en",Licensed ,Healthcare,,Trained on SNOMED CT Findings,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/13.Snomed_Entity_Resolver_Model_Training.ipynb,True
0,clinical/models,Classifierdl Biobert Adverse Events,classifierdl_biobert_ade,en,2.6.0,2.4,2020-09-15,1600201949450,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/classifierdl_biobert_ade_en_2.6.0_2.4_1600201949450.zip,classifierdl_biobert_ade_en_2.6.0_2.4_1600201949450.zip,FILLUP,ClassifierDLModel,FILLUP,FILLUP,John Snow Labs,"clinical,classifier,dl,biobert,ade,en",Licensed ,Healthcare,,FILLUP,,,,,
0,clinical/models,Clinical Analysis,clinical_analysis,en,2.4.0,2.4,2020-02-01,1580600773378,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/clinical_analysis_en_2.4.0_2.4_1580600773378.zip,clinical_analysis_en_2.4.0_2.4_1580600773378.zip,,PipelineModel,,,John Snow Labs,"clinical,pipeline,analysis,en",Licensed ,Healthcare,,,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,
0,clinical/models,Clinical Deidentification,clinical_deidentification,en,2.4.0,2.4,2020-01-31,1580481115376,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/clinical_deidentification_en_2.4.0_2.4_1580481115376.zip,clinical_deidentification_en_2.4.0_2.4_1580481115376.zip,,PipelineModel,,,John Snow Labs,,Licensed ,Healthcare,,,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,
0,clinical/models,Clinical Ner Assertion,clinical_ner_assertion,en,2.4.0,2.4,2020-01-31,1580481098096,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/clinical_ner_assertion_en_2.4.0_2.4_1580481098096.zip,clinical_ner_assertion_en_2.4.0_2.4_1580481098096.zip,,PipelineModel,,,John Snow Labs,,Licensed ,Healthcare,,,,,,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,
0,clinical/models,Deidentify DL,deidentify_dl,en,2.4.0,2.4,2020-01-28,1580237286004,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/deidentify_dl_en_2.4.0_2.4_1580237286004.zip,deidentify_dl_en_2.4.0_2.4_1580237286004.zip,embeddings_clinical,NerDLModel,"AGE,BIOID,CITY,COUNTRY,DATE,DOCTOR,EMAIL,FAX,HEALTHPLAN,HOSPITAL,IDNUM,MEDICALRECORD,ORGANIZATION,OTHER,PATIENT,PHONE,PROFESSION,STATE,STREET,USERNAME,X,ZIP",,John Snow Labs,,Licensed ,Healthcare,,Rule based DeIdentifier based on `ner_deid`,,,,,
