repo,name,language,compatibility,spark_version,latest_date,ts,file,dataset,upstream_deps,model_class,dataset_info,labels,reference_url,author,tags,license,edition,inputs,output,dimension,description,demo_url,download_url,included_models,type,colab_url,case_sensitive,title
clinical/models,assertion_dl,en,2.4.0,2.4,2020-01-28,1580237286004,assertion_dl_en_2.4.0_2.4_1580237286004.zip,s3,embeddings_clinical,AssertionDLModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,"Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_en_2.4.0_2.4_1580237286004.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion DL
clinical/models,assertion_dl_healthcare,en,2.6.0,2.4,2020-09-23,1600849811713,assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,s3,,,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,assertion_dl_large,en,2.4.2,2.4,2020-05-21,1590022282256,assertion_dl_large_en_2.4.2_2.4_1590022282256.zip,s3,embeddings_clinical,AssertionDLModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,"Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion DL Large
clinical/models,assertion_i2b2,en,2.4.2,2.4,2020-05-07,1588811895962,assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,s3,,,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,assertion_ml,en,2.4.0,2.4,2020-01-28,1580237286004,assertion_ml_en_2.4.0_2.4_1580237286004.zip,s3,embeddings_clinical,AssertionLogRegModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,Logistic regression based named entity recognition model for assertions.,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion ML
clinical/models,biobert_clinical_base_cased,en,2.5.0,2.4,2020-05-26,1590489819943,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_discharge_base_cased,en,2.5.0,2.4,2020-05-26,1590490193605,biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489029151,biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_base_cased,en,2.5.0,2.4,2020-09-15,1600182457870,biobert_pubmed_base_cased_en_2.5.0_2.4_1600182457870.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_large_cased,en,2.5.0,2.4,2020-09-16,1600240494946,biobert_pubmed_large_cased_en_2.5.0_2.4_1600240494946.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489367180,biobert_pubmed_pmc_base_cased_en_2.5.0_2.4_1590489367180.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,chunkresolve_ICD10GM,de,2.5.5,2.4,2020-09-06,1599431635423,chunkresolve_ICD10GM_de_2.5.5_2.4_1599431635423.zip,s3,,ChunkEntityResolverModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,chunkresolve_athena_conditions_healthcare,en,2.6.0,2.4,2020-09-16,1600265258887,chunkresolve_athena_conditions_healthcare_en_2.6.0_2.4_1600265258887.zip,s3,,ChunkEntityResolverModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,chunkresolve_cpt_clinical,en,2.4.2,2.4,2020-04-21,1587491373378,chunkresolve_cpt_clinical_en_2.4.2_2.4_1587491373378.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on Current Procedural Terminology dataset,,,John Snow Labs,"clinical,entity,resolution,cpt",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_clinical,en,2.4.2,2.4,2020-04-21,1587491222166,chunkresolve_icd10cm_clinical_en_2.4.2_2.4_1587491222166.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10 Clinical Modification datasetwith tenths of variations per code,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_diseases_clinical,en,2.4.5,2.4,2020-04-28,1588105984876,chunkresolve_icd10cm_diseases_clinical_en_2.4.5_2.4_1588105984876.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: A000-N989 Except Neoplasms and Musculoskeletal,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,diseases",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_injuries_clinical,en,2.4.5,2.4,2020-04-28,1588103825347,chunkresolve_icd10cm_injuries_clinical_en_2.4.5_2.4_1588103825347.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: S0000XA-S98929S ,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/S00-T88,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,injuries",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_musculoskeletal_clinical,en,2.4.5,2.4,2020-04-28,1588103998999,chunkresolve_icd10cm_musculoskeletal_clinical_en_2.4.5_2.4_1588103998999.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: M0000-M9979XXS,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/M00-M99,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,musculoeskeletal",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_neoplasms_clinical,en,2.4.5,2.4,2020-04-28,1588108205630,chunkresolve_icd10cm_neoplasms_clinical_en_2.4.5_2.4_1588108205630.zip,s3,embeddings_clinical,ChunkEntityResolverModel,"Trained on ICD10CM Dataset Ranges: C000-D489, R590-R599",ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/C00-D49,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,neoplasms",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_poison_ext_clinical,en,2.4.5,2.4,2020-04-28,1588106053455,chunkresolve_icd10cm_poison_ext_clinical_en_2.4.5_2.4_1588106053455.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: T1500XA-T879,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/S00-T88,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,poisoning",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_puerile_clinical,en,2.4.5,2.4,2020-04-28,1588103916781,chunkresolve_icd10cm_puerile_clinical_en_2.4.5_2.4_1588103916781.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: O0000-O9989,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/O00-O9A,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,pregnancy,infancy",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10pcs_clinical,en,2.4.2,2.4,2020-04-21,1587491320087,chunkresolve_icd10pcs_clinical_en_2.4.2_2.4_1587491320087.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10 Procedure Coding System dataset,ICD10-PCS Codes and their normalized definition,https://www.icd10data.com/ICD10PCS/Codes,John Snow Labs,"clinical,entity,resolution,icd10,icd10pcs",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icdo_clinical,en,2.4.2,2.4,2020-04-21,1587491354644,chunkresolve_icdo_clinical_en_2.4.2_2.4_1587491354644.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD-O Histology Behaviour dataset,ICD-O Codes and their normalized definition,https://apps.who.int/iris/bitstream/handle/10665/96612/9789241548496_eng.pdf,John Snow Labs,"clinical,entity,resolution,icd10,icdo",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_loinc_clinical,en,2.5.0,2.4,2020-05-16,1589599195201,chunkresolve_loinc_clinical_en_2.5.0_2.4_1589599195201.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on LOINC dataset with `embeddings_clinical`,LOINC Codes and ther Standard Name,https://loinc.org/,John Snow Labs,"clinical,entity,resolution,loinc",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_rxnorm_cd_clinical,en,2.5.1,2.4,2020-07-27,1595813950836,chunkresolve_rxnorm_cd_clinical_en_2.5.1_2.4_1595813950836.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on December 2019 RxNorm Clinical Drugs (TTY=CD) ontology graph with `embeddings_clinical`,RxNorm Codes and their normalized definition,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity,resolution,rxnorm,cd",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_rxnorm_sbd_clinical,en,2.5.1,2.4,2020-07-27,1595813912622,chunkresolve_rxnorm_sbd_clinical_en_2.5.1_2.4_1595813912622.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on December 2019 RxNorm Clinical Drugs (TTY=SBD) ontology graph with `embeddings_clinical`,RxNorm Codes and their normalized definition,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity,resolution,rxnorm,sbd",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_rxnorm_scd_clinical,en,2.5.1,2.4,2020-07-27,1595813884363,chunkresolve_rxnorm_scd_clinical_en_2.5.1_2.4_1595813884363.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on December 2019 RxNorm Clinical Drugs (TTY=SCD) ontology graph with `embeddings_clinical`,RxNorm Codes and their normalized definition,https://www.nlm.nih.gov/pubs/techbull/nd19/brief/nd19_rxnorm_december_2019_release.html,John Snow Labs,"clinical,entity,resolution,rxnorm,scd",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_rxnorm_xsmall_clinical,en,2.5.2,2.4,2020-06-24,1592959394598,chunkresolve_rxnorm_xsmall_clinical_en_2.5.2_2.4_1592959394598.zip,s3,,ChunkEntityResolverModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,chunkresolve_snomed_findings_clinical,en,2.5.1,2.4,2020-06-20,1592617161564,chunkresolve_snomed_findings_clinical_en_2.5.1_2.4_1592617161564.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on SNOMED CT Findings,Snomed Codes and their normalized definition,http://www.snomed.org/,John Snow Labs,"clinical,entity,resolution,snomed,findings",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,classifierdl_biobert_ade,en,2.6.0,2.4,2020-09-15,1600201949450,classifierdl_biobert_ade_en_2.6.0_2.4_1600201949450.zip,s3,,ClassifierDLModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,clinical_analysis,en,2.4.0,2.4,2020-02-01,1580600773378,clinical_analysis_en_2.4.0_2.4_1580600773378.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,clinical_deidentification,en,2.4.0,2.4,2020-01-31,1580481115376,clinical_deidentification_en_2.4.0_2.4_1580481115376.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,clinical_ner_assertion,en,2.4.0,2.4,2020-01-31,1580481098096,clinical_ner_assertion_en_2.4.0_2.4_1580481098096.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,deidentify_dl,en,2.4.0,2.4,2020-01-28,1580237286004,deidentify_dl_en_2.4.0_2.4_1580237286004.zip,s3,,NerDLModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,deidentify_large,en,2.5.1,2.4,2020-07-19,1595199111307,deidentify_large_en_2.5.1_2.4_1595199111307.zip,s3,ner_deid_large,DeIdentificationModel,"Trained on 10.000 Contact, Location, Name and Profession random replacements","Contact, Location, Name, Profession",https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/,John Snow Labs,"clinical,deidentification,regex,large",Licensed ,Healthcare,"document, token, chunk",document,,"Deidentify (Large) is a deidentification model. It identifies instances of protected health information in text documents, and it can either obfuscate them (e.g., replacing names with different, fake names) or mask them (e.g., replacing ""2020,06,04"" with ""<DATE>""). This model is useful for maintaining HIPAA compliance when dealing with text documents that contain protected health information.",https://demo.johnsnowlabs.com/healthcare/DEID_PHI_TEXT,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/nerdl_deid_en_1.8.0_2.4_1545462443516.zip,,deid,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/DEID_PHI_TEXT.ipynb,False,Deidentify (Large)
clinical/models,deidentify_rb,en,2.0.2,2.4,2019-06-04,1559672122511,deidentify_rb_en_2.0.2_2.4_1559672122511.zip,s3,ner_deid,DeIdentificationModel,Rule based DeIdentifier based on `ner_deid`,,,John Snow Labs,"clinical,deidentification,regex",Licensed ,Healthcare,"document, token, chunk",document,,,,,,,,,
clinical/models,deidentify_rb_no_regex,en,2.4.5,2.4,2020-05-19,1589924063833,deidentify_rb_no_regex_en_2.4.5_2.4_1589924063833.zip,s3,ner_deid,DeIdentificationModel,Rule based DeIdentifier based on `ner_deid`,,,John Snow Labs,"clinical,deidentification",Licensed ,Healthcare,"document, token, chunk",document,,,,,,,,,
clinical/models,embeddings_biovec,en,2.5.0,2.4,2020-06-02,1591068211397,embeddings_biovec_en_2.5.0_2.4_1591068211397.zip,s3,,WordEmbeddingsModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,embeddings_clinical,en,2.4.0,2.4,2020-01-28,1580237286004,embeddings_clinical_en_2.4.0_2.4_1580237286004.zip,s3,,WordEmbeddingsModel,Trained on PubMed corpora,,,John Snow Labs,"clinical,embeddings,pubmed,umls,mimic",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_healthcare,en,2.4.4,2.4,2020-03-26,1585188313964,embeddings_healthcare_en_2.4.4_2.4_1585188313964.zip,s3,,WordEmbeddingsModel,Trained on PubMed + ICD10 + UMLS + MIMIC III corpora,,,John Snow Labs,"clinical,embeddings,pubmed,umls,mimic",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_healthcare_100d,en,2.5.0,2.4,2020-05-29,1590794626292,embeddings_healthcare_100d_en_2.5.0_2.4_1590794626292.zip,s3,,WordEmbeddingsModel,Trained on PubMed + ICD10 + UMLS + MIMIC III corpora,,,John Snow Labs,"clinical,embeddings,pubmed,umls,mimic",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielo_150d,es,2.5.0,2.4,2020-05-26,1590467082526,embeddings_scielo_150d_es_2.5.0_2.4_1590467082526.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielo_300d,es,2.5.0,2.4,2020-05-26,1590467138742,embeddings_scielo_300d_es_2.5.0_2.4_1590467138742.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielo_50d,es,2.5.0,2.4,2020-05-26,1590467114993,embeddings_scielo_50d_es_2.5.0_2.4_1590467114993.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielowiki_150d,es,2.5.0,2.4,2020-05-26,1590467545910,embeddings_scielowiki_150d_es_2.5.0_2.4_1590467545910.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles + Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielowiki_300d,es,2.5.0,2.4,2020-05-26,1590467643391,embeddings_scielowiki_300d_es_2.5.0_2.4_1590467643391.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles + Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_scielowiki_50d,es,2.5.0,2.4,2020-05-26,1590467602230,embeddings_scielowiki_50d_es_2.5.0_2.4_1590467602230.zip,s3,,WordEmbeddingsModel,Trained on Scielo Articles + Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_sciwiki_150d,es,2.5.0,2.4,2020-05-27,1590609340084,embeddings_sciwiki_150d_es_2.5.0_2.4_1590609340084.zip,s3,,WordEmbeddingsModel,Trained on Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_sciwiki_300d,es,2.5.0,2.4,2020-05-27,1590609454054,embeddings_sciwiki_300d_es_2.5.0_2.4_1590609454054.zip,s3,,WordEmbeddingsModel,Trained on Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,embeddings_sciwiki_50d,es,2.5.0,2.4,2020-05-27,1590609287349,embeddings_sciwiki_50d_es_2.5.0_2.4_1590609287349.zip,s3,,WordEmbeddingsModel,Trained on Clinical Wikipedia Articles,,https://zenodo.org/record/3744326#.XtViinVKh_U,John Snow Labs,"clinical,embeddings,scielo,wikipedia",Licensed ,Healthcare,"document, token",word_embeddings,,,,,,,,,
clinical/models,explain_clinical_doc_carp,en,2.5.5,2.4,2020-08-19,1597841630062,explain_clinical_doc_carp_en_2.5.5_2.4_1597841630062.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,"A pretrained pipeline with ner_clinical, assertion_dl, re_clinical and ner_posology. It will extract clinical and medication entities, assign assertion status and find relationships between clinical entities.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/explain_clinical_doc_carp_en_2.5.5_2.4_1597841630062.zip,"- ner_clinical
- assertion_dl
- re_clinical
- ner_posology",pipeline,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,,Explain Clinical Doc CARP
clinical/models,explain_clinical_doc_cra,en,2.5.5,2.4,2020-08-19,1597846145640,explain_clinical_doc_cra_en_2.5.5_2.4_1597846145640.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,explain_clinical_doc_era,en,2.5.5,2.4,2020-08-19,1597845753750,explain_clinical_doc_era_en_2.5.5_2.4_1597845753750.zip,s3,,PipelineModel,,,,,,Licensed ,,,,,"A pretrained pipeline with ner_clinical_events, assertion_dl and re_temporal_events_clinical. It will extract clinical entities, assign assertion status and find temporal relationships between clinical entities",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/explain_clinical_doc_era_en_2.5.5_2.4_1597841630062.zip,"- ner_clinical_events
- assertion_dl
- re_temporal_events_clinical",pipeline,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,,Explain Clinical Doc ERA
clinical/models,ner_anatomy,en,2.4.2,2.4,2020-04-21,1587513307751,ner_anatomy_en_2.4.2_2.4_1587513307751.zip,s3,embeddings_clinical,NerDLModel,Trained on the Anatomical Entity Mention (AnEM) corpus with `embeddings_clinical`,"Anatomical_system, Cell, Cellular_component, Developing_anatomical_structure, Immaterial_anatomical_entity, Multi-tissue_structure, Organ, Organism_subdivision, Organism_substance, Pathological_formation, Tissue",http://www.nactem.ac.uk/anatomy/,John Snow Labs,"clinical,ner,dl,anatomy,anem",Licensed ,Healthcare,"sentence, token, pos, label, word_embeddings",ner,,"Pretrained named entity recognition deep learning model for anatomy terms. Includes Anatomical_system, Cell, Cellular_component, Developing_anatomical_structure, Immaterial_anatomical_entity, Multi,tissue_structure, Organ, Organism_subdivision, Organism_substance, Pathological_formation, and Tissue entities. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_anatomy_en_2.4.2_2.4_1587513307751.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,False,NerDLModel Anatomy
